,Produktnamn,Registreringsnummer
801,COM 116 02 I AL,5552
802,COM 116 03 I SG,5489
803,Compo Myrmedel,5489
804,Compo Myrmedel som du sprider och häller,5489
805,Demand Granules,5489
806,Demand Spray,5552
807,Granulert myrbete,5489
808,Insectex Myrmedel,5489
809,Insectex Myrmedel som du sprider och häller,5489
810,Insekts spray krypande,5552
811,Insektsspray,5552
812,Kill-it crawling insects,5552
813,KILL-IT Myrmedel,5489
814,KILL-IT Myrpulver,5489
815,KILL-IT Myrspray,5552
816,Kill-It spray mot krypande insekter,5552
817,Maurspray,5552
818,Myr stop LC,5552
819,Myr stop LG,5489
820,Myr stop LP,5489
821,Pest Stop Myrpulver,5489
822,Pestis Insektsspray,5552
823,Premium insektspray,5552
824,Premium insektsspray,5552
825,Silver stop LC,5552
826,terrasan Home Myrmedel,5489
827,terrasan Home Myrmedel som du sprider och häller,5489
828,Trinol 810 Insekts spray,5552
829,Trinol Granulert bete,5489
830,Universal insektsspray,5552
831,Milbeknock,5819
832,Sencor SC 600,5197
833,Bariton Super,5522
834,Cantus,4872
835,Desintec Rats & Mice Grainbait,5481
836,Entargo,5627
837,Madison SC 325,5839
838,Mateno Duo,5688
839,Pictor Active,5405
840,Previcur Energy,5046
841,Proline EC 250,4688
842,Strong 25,5481
843,Variano Xpro,5533
844,Desintec Rats & Mice Paste,5482
845,Propasta 25,5482
846,Strong Pasta 25,5482
847,Beslut om dispens,
848,Jade Pasta,5451
849,Probloc,5457
850,Myrr Q Myrdosa,5473
851,Executive MM3300,EU-0029619-0001
852,MM3300,EU-0029619-0001
853,MM4200,EU-0029619-0002
854,Mosquito Magnet,EU-0029619-0002
855,Mosquito Magnet,EU-0029619-0001
856,Mosquito Magnet Executive,EU-0029619-0001
857,Mosquito Magnet Pioneer,EU-0029619-0002
858,Pioneer MM4200,EU-0029619-0002
859,Ant Stop,5941
860,Evagio Plus,5842
861,Revus,4843
862,Sempra,5248
863,TotalSTOP,5138
864,Carnadine,5893
865,Sentrallas LQM,5907
866,Floramite 240 SC,5774
867,Nautius,5113
868,RATIO Super SX,5435
869,Redigo M,5782
870,INFINITO,5955
871,Vikane,4883
872,Vikane,4170
873,Starship,5716
874,Alert Block D,5516
875,Duplosan D,5664
876,Facett Cereal B,5513
877,Focus Ultra,5328
878,Myr stop DP,5829
879,Somi,5829
880,Anti-kleermotval,EU-0031763-0000
881,Anti-Mites Textiles Matapolillas De La Prenda,EU-0031763-0000
882,Beslut om dispens,
883,Clothes Moth Trap,EU-0031763-0000
884,Delta Kledingmottenval,EU-0031763-0000
885,Delta kleermottenval,EU-0031763-0000
886,Delta kleermotval,EU-0031763-0000
887,Delta piège mites,EU-0031763-0000
888,Drabužiniu kandžiu gaudykle,EU-0031763-0000
889,Drebju kožu slazds,EU-0031763-0000
890,Edialux kleermottenval,EU-0031763-0000
891,Edialux piège mites de vêtements,EU-0031763-0000
892,Ferobox kleermottenval,EU-0031763-0000
893,Ferobox Kleidermotten,EU-0031763-0000
894,Ferobox mîtes de vêtements,EU-0031763-0000
895,Ferobox Textil,EU-0031763-0000
896,Gesal Kleidermotten-Falle,EU-0031763-0000
897,Green choice kleermottenval,EU-0031763-0000
898,Green choice piège mites de vêtements,EU-0031763-0000
899,Green Protect Clothes Moth Trap,EU-0031763-0000
900,Green Protect Drabužiniu kandžiu gaudykle,EU-0031763-0000
901,Green Protect Drebju kožu slazds,EU-0031763-0000
902,Green Protect klädesmalfälla,EU-0031763-0000
903,Green Protect klædemølfælde,EU-0031763-0000
904,Green Protect Klesmøllfelle,EU-0031763-0000
905,Green Protect Riidekoi püünis,EU-0031763-0000
906,Green Protect Vaatekoipyydys,EU-0031763-0000
907,KB Pièges à mites vestimentaires,EU-0031763-0000
908,KLÄDER & TEXTIL MALFÄLLA,EU-0031763-0000
909,Klädesmalfälla,EU-0031763-0000
910,Klædemølfælde,EU-0031763-0000
911,Kleider & Textil Mottenfalle,EU-0031763-0000
912,Kleidermottenfalle,EU-0031763-0000
913,Kleidermotten-Falle,EU-0031763-0000
914,Klesmøllfelle,EU-0031763-0000
915,Luxan Kleermotval,EU-0031763-0000
916,MØLLFELLE KLÆR & TEKSTILER,EU-0031763-0000
917,Nexa Lotte Kleider & Textil Mottenfalle,EU-0031763-0000
918,ODZIEZOWE,EU-0031763-0000
919,Pare-Insectes Kledingmottenval,EU-0031763-0000
920,PAST NA MURY ODEVU,EU-0031763-0000
921,Pest-Stop Clothes Moth Trap,EU-0031763-0000
922,Piège anti-mites,EU-0031763-0000
923,Pièges à mites textiles,EU-0031763-0000
924,Pièges à mites vestimentaires,EU-0031763-0000
925,Protecta Mites Textiles,EU-0031763-0000
926,Protecta Polillas De La Ropa,EU-0031763-0000
927,PuLapka Na Mole Ubraniowe,EU-0031763-0000
928,Riidekoi püünis,EU-0031763-0000
929,SUBSTRAL NATUREN PULAPKA NA MOLE,EU-0031763-0000
930,TØJ & TEKSTIL MØLFÆLDE,EU-0031763-0000
931,Trappola per tarme dei tessuti,EU-0031763-0000
932,VAATE & TEKSTIILI KOIANSA,EU-0031763-0000
933,Vaatekoipyydys,EU-0031763-0000
934,Generation Block,5462
935,Generation Grain Tech,5454
936,Imidasect,5354
937,Imidasect Ants,5757
938,Myrdosa RB,5757
939,Myrsirup RB,5757
940,Silver stop RB,5354
941,Flurostar Forte,5977
942,Pantera 40 EC,5934
943,Tachigaren 70 WP,3513
944,Tachigaren LS,5759
945,VextaDim 240 EC,5887
946,Bonzi,5290
947,Asperello Biocontrol,5913
948,Avoxa Maxx,5969
949,Nexide CS,5595
950,Racumin Foam,5792
951,Bromadiolon Blockbete,5443
952,Ratimor Bromadiolone Blockbete,5443
953,Ratimor Wax Blocks,5443
954,Frupica SC,4781
955,Polyversum,5570
956,Baygon Myrpulver,5972
957,Raid Myrpulver,5972
958,MyggA Natural Spray,5932
959,Centium 36 CS,4778
960,Danitron 5 SC,4604
961,Boxer,5760
962,Linati,5803
963,Cliophar 600 SL,5506
964,Insekt Spray,5958
965,Liv DES+45,5542
966,Lm Canvas,PHT-0087-4982
967,Advion Fly Granular Bait,5835
968,Disparid Fly Granular Bait,5835
969,Lancelot,5252
970,Primus XL,5223
971,Glypper,5519
972,Pyretal Spray,5902
973,Titus,5812
974,K-Othrine Flexx,5785
975,K-Othrine Partix,5785
976,Trianum G,5271
977,Allstar,5691
978,Caryx,5452
979,CDQ SX,5779
980,Admiral 10 EC,5336
981,Roundup Flex,5844
982,Kalif 360 CS,5309
983,Beloukha Garden,5970
984,Force 20 CS,5365
985,Teppeki Ultra SG 50%,5957
986,Teppeki Ultra SG 50%,5957
987,Wolmanit CX-8F,5663-2-1
988,Wolmanit CX-8WB,5663-1-1
989,Antibac Desinfektionservett för ytor IPA,5654-5-1
990,DAX Desinfektionsservett för ytor,5654-5-1
991,DAX Handdesinfektion ipa,5654-1-1
992,DAX Ytdesinfektion  PLUS,5654-4-1
993,DAX Ytdesinfektion Extra,5654-2-1
994,DAX Ytdesinfektion PLUS,5654-3-1
995,Kiilto Pro Desinfektionservett för ytor IPA,5654-5-1
996,Kiilto Pro MD Des IPA 45+,5654-3-1
997,Kiilto Pro Ytdesinfektion Extra,5654-2-1
998,Kiilto Pro Ytdesinfektion Plus,5654-4-1
999,Kiilto Pro Ytdesinfektion Plus,5654-3-1
1000,Acticide C 1,5732
1001,Basagran SG,5895
1002,Beloukha,5961
1003,SURE Antimic Foam Hand Wash,EU-0031781-0000
1004,Mospilan SG,5948
1005,Kvitt spray mot insekter,5958
1006,Myrr spray mot myror,5958
1007,PYR 0.5 CS,5958
1008,Raid myror,5958
1009,Swirr P Spray,5958
1010,Upstream,4897
1011,Gajus,5956
1012,INFINITO,5955
1013,Biox-M,5031
1014,DFF SC 500,5362
1015,Signature Xtra Stressgard,5949
1016,Kunshi,5306
1017,Shirlan,3957
1018,Banjo 500 SC,5187
1019,LALSTOP G46 WG,5738
1020,Ascernity,5681
1021,Elatus Plus,5315
1022,Phostoxin Pellets,5952
1023,Tesanto,5864
1024,Vendetta,5325
1025,Folpan 500 SC,5208
1026,Hypomen,5735-3-1
1027,Hypomen Professional,5735-1-1
1028,Hypomen Professional Tablets,5735-1-2
1029,Hypomen Professional Tablets with Anti-scale,5735-1-4
1030,Hypomen Professional with Anti-scale,5735-1-3
1031,Hypomen Sticks,5735-3-5
1032,Hypomen Tablets,5735-3-2
1033,Hypomen Tablets with Anti-scale,5735-3-4
1034,Hypomen Water,5735-2-1
1035,Hypomen Water Tablets,5735-2-2
1036,Hypomen with Anti-scale,5735-3-3
1037,Lenvyor,5930
1038,Poolklor SuperChock,5735-3-1
1039,SAFIR KLOR,5735-3-1
1040,Katoun Gold,5950
1041,LALSTOP G46 WG,5738
1042,Signum,4884
1043,Bactimos SC,5538
1044,Starane XL,4686
1045,Ergon,5231
1046,Antimicrobial 7287 DPG,5942
1047,AQUCAR BP 100 Water Treatment Microbiocide,5947
1048,AQUCAR DB 100 Water Treatment Microbiocide,5944
1049,AQUCAR DB 20 Water Treatment Microbiocide,5943
1050,Bansan 240,5945
1051,Bansan 500,5946
1052,Bansan 820,5943
1053,Bananflugefälla,EU-0030718-0000
1054,Bananflugfälla,EU-0030718-0000
1055,FRUIT FLY ATTRACTIF,EU-0030718-0000
1056,FRUIT FLY TRAP,EU-0030718-0000
1057,Fruktflugefälla,EU-0030718-0000
1058,Fruktflugfälla,EU-0030718-0000
1059,FRUMAGIC,EU-0030718-0000
1060,Myrr Mikrogranulat,5940
1061,POMAGIC,EU-0030718-0000
1062,PYR 0.25 PBO 1.25 MG,5940
1063,Refill Bananflugfälla,EU-0030718-0000
1064,Refill Fruktflugfälla,EU-0030718-0000
1065,Shinkon,5939
1066,SWIRR PLUS,5940
1067,TRAPPIT FRUIT FLY TRAP,EU-0030718-0000
1068,TRAPPIT LEMON FRUIT FLY TRAP,EU-0030718-0000
1069,FLiPPER,5512
1070,Corum,5912
1071,Raptol,5351
1072,Taegro,5935
1073,calgonit Des-H,5936
1074,Renosan Händedesinfektion HD,5936
1075,Nexide CS,5595
1076,Mille Vit,4974
1077,Mizuki,5927
1078,Fästing Spray,5932
1079,Mr Mosquito,5924
1080,Mygga Fästing 2 in 1 Spray,5932
1081,Afepasa Greenhouse Sulphur Tablets,5755
1082,Attraxor,5549
1083,Difcor 250 EC,5601
1084,DIFEND,5233
1085,Dividend Formula M,4482
1086,Event Super,4222
1087,Fibro,5817
1088,Gratil 75 WG,4232
1089,Gullviks Grande,5767
1090,Leander,5459
1091,Narita,5373
1092,PROLECTUS,5185
1093,Saracen Delta,5493
1094,Axil 2000 AB-B,5931
1095,Autan Anti-Fästing,5719
1096,FlyCage,EU-0027083-0000
1097,Fructolure Dry,EU-0027083-0000
1098,Fructolure Tab,EU-0027083-0000
1099,Fructose 97.2% w/w SP,EU-0027083-0000
1100,MuscaMix,EU-0027083-0000
1101,Muscattract Dry,EU-0027083-0000
1102,Muscattract Tab,EU-0027083-0000
1103,VespaMix,EU-0027083-0000
1104,Vesparex Dust,EU-0027083-0000
1105,Vespattract Dry,EU-0027083-0000
1106,Vespattract Tab,EU-0027083-0000
1107,Wasp Attract Dust,EU-0027083-0000
1108,WaspCage,EU-0027083-0000
1109,Cleravo,5834
1110,Nissorun SC,5334
1111,Degesch Plate,5193
1112,Degesch Strip,5193
1113,Degesch-Strip,5193
1114,Spectrum,5925
1115,CROWN MH,5928
1116,Vacciplant,5922
1117,Vacciplant,5922
1118,Bondex Nadelholz-Imprägnierung Plus,5586-1-1
1119,Bondex Nadelholz-Imprägnierung Plus+,5586-1-2
1120,Bridex 20,5586-1-1
1121,Bridex 20+,5586-1-2
1122,CE 140QT,5586-1-1
1123,CE 140QT G:0713,5586-1-9
1124,CE 140QT G:2300,5586-1-4
1125,CE 140QT G:2945,5586-1-17
1126,CE 140QT G:6022,5586-1-5
1127,CE 140QT G:6028,5586-1-8
1128,CE 140QT G:6077,5586-1-4
1129,CE 140QT G:9106,5586-1-9
1130,CE 140QT G:9110,5586-1-10
1131,CE 140QT G:WS2,5586-1-5
1132,CE 140QT+,5586-1-2
1133,Col.r GRUNDOLJA TRÄ,5586-1-1
1134,Col.r GRUNDOLJA TRÄ+,5586-1-2
1135,FE 130QO,5586-1-15
1136,FE 130QO+,5586-1-16
1137,GORI 17 Imprägniergrund-Extra,5586-1-1
1138,GORI 17 Imprägniergrund-Extra+,5586-1-2
1139,Holzschutz-Grund 250,5586-1-1
1140,Holzschutz-Grund 250+,5586-1-2
1141,Koralan GL 220 Bangkirai,5586-1-17
1142,Koralan GL 220 Color,5586-1-12
1143,Koralan GL 220 Ebenholz,5586-1-6
1144,Koralan GL 220 Eiche,5586-1-4
1145,Koralan GL 220 Eiche Hell,5586-1-8
1146,Koralan GL 220 farblos,5586-1-1
1147,Koralan GL 220 farblos+,5586-1-2
1148,Koralan GL 220 Hellgrau,5586-1-14
1149,Koralan GL 220 Kastanie,5586-1-10
1150,Koralan GL 220 Kiefer,5586-1-13
1151,Koralan GL 220 Lärche,5586-1-5
1152,Koralan GL 220 Maisgelb,5586-1-14
1153,Koralan GL 220 Mittelgrau,5586-1-18
1154,Koralan GL 220 Nussbaum,5586-1-8
1155,Koralan GL 220 Olivgrün,5586-1-7
1156,Koralan GL 220 Palisander,5586-1-11
1157,Koralan GL 220 Russisch grün,5586-1-6
1158,Koralan GL 220 Salzgrün,5586-1-7
1159,Koralan GL 220 Schiefergrau,5586-1-7
1160,Koralan GL 220 Schwedenrot,5586-1-11
1161,Koralan GL 220 Signalrot,5586-1-6
1162,Koralan GL 220 Silber,5586-1-3
1163,Koralan GL 220 Silbergrau,5586-1-3
1164,Koralan GL 220 Sommerblau,5586-1-4
1165,Koralan GL 220 Tabakbraun,5586-1-9
1166,Koralan GL 220 Teak,5586-1-6
1167,Koralan GL 220 weiß,5586-1-15
1168,Koralan GL 220 weiß+,5586-1-16
1169,Koralan UL 420  Ebenholz,5586-1-6
1170,Koralan UL 420 Bangkirai,5586-1-17
1171,Koralan UL 420 Color,5586-1-12
1172,Koralan UL 420 Eiche,5586-1-4
1173,Koralan UL 420 Eiche Hell,5586-1-8
1174,Koralan UL 420 farblos,5586-1-1
1175,Koralan UL 420 farblos+,5586-1-2
1176,Koralan UL 420 Hellgrau,5586-1-14
1177,Koralan UL 420 Kastanie,5586-1-10
1178,Koralan UL 420 Kiefer,5586-1-13
1179,Koralan UL 420 Lärche,5586-1-5
1180,Koralan UL 420 Maisgelb,5586-1-14
1181,Koralan UL 420 Mittelgrau,5586-1-18
1182,Koralan UL 420 Nussbaum,5586-1-8
1183,Koralan UL 420 Olivgrün,5586-1-7
1184,Koralan UL 420 Palisander,5586-1-11
1185,Koralan UL 420 Russisch grün,5586-1-6
1186,Koralan UL 420 Salzgrün,5586-1-7
1187,Koralan UL 420 Schiefergrau,5586-1-7
1188,Koralan UL 420 Schwedenrot,5586-1-11
1189,Koralan UL 420 Signalrot,5586-1-6
1190,Koralan UL 420 Silber,5586-1-3
1191,Koralan UL 420 Silbergrau,5586-1-3
1192,Koralan UL 420 Sommerblau,5586-1-4
1193,Koralan UL 420 Tabakbraun,5586-1-9
1194,Koralan UL 420 Teak,5586-1-6
1195,Koralan UL 420 weiß,5586-1-15
1196,Koralan UL 420 weiß+,5586-1-16
1197,RENOVO Holzimprägniergrund,5586-1-1
1198,RENOVO Holzimprägniergrund+,5586-1-2
1199,Solignum 20,5586-1-1
1200,Solignum 20+,5586-1-2
1201,swingcolor HOLZSCHUTZ-GRUND,5586-1-1
1202,swingcolor HOLZSCHUTZ-GRUND+,5586-1-2
1203,Magnet Gel Silverfish,EU-0030315-0000
1204,Nalco 2510,3547
1205,Silouet,5923
1206,AIR DES 100,5921
1207,HG desinfectie reiniger,5921
1208,HG Desinfektionsreiniger,5921
1209,HG nettoyant de désinfection,5921
1210,Kenolox 10,5921
1211,Kenoxilac,5921
1212,Kenoxylac,5921
1213,MiQro Derolox,5921
1214,Roundup Flex,5844
1215,Roundup Flick,5845
1216,Roundup Ultra,5773
1217,Spezial FOD,5921
1218,Ultra DES,5921
1219,Aqualine VK Spray,5029
1220,Basagran SG,5895
1221,Cadou,5804
1222,Matrigon 72 SG,5914
1223,NonStop VK White/Grey,4880
1224,Bonus AlgVäck färdigblandat,5911
1225,Enclean Ready to Use,5911
1226,Enclean RTU,5911
1227,Stabilan 400 SL,5770
1228,TEPPEKI,5847
1229,Biathlon 4D,5401
1230,Pantera 40 EC,5677
1231,Targa Super 5SC,5547
1232,C&F CONCENTRATE,5917
1233,CONCENTRATE ETOFENPROX 300,5917
1234,CONCENTRATE INSECTICIDE 300,5917
1235,ETOF 300,5917
1236,Fenox,5917
1237,PHOBI FENOX,5917
1238,Wolmanit CX-10,5904-3-1
1239,Wolmanit CX-8,5904-1-1
1240,Wolmanit CX-8 (9176),5904-2-1
1241,Wolmanit CX-8N,5904-1-2
1242,Wolmanit CX-8SF,5904-2-1
1243,Seedron,5314
1244,Celest Formula M,4392
1245,Geoxe 50 WG,5404
1246,Maxim 100 FS,4826
1247,Medallion TL,5075
1248,Switch 62.5 WG,4587
1249,Vibrance Duo,5807
1250,Kerb Flo 400,4610
1251,Wolmanit CX-10,4121
1252,Wolmanit CX-8,4122
1253,AQUCAR GA 24 Water Treatment Microbiocide,5747
1254,AQUCAR GA 50 Water Treatment Microbiocide,5748
1255,Asperello,5913
1256,Asperello,5913
1257,Asperello Biocontrol,5913
1258,Delaro SC 325,5256
1259,Finalsan AlgRent,5870-1-1
1260,"Finalsan Spray AlgRent
",5870-2-2
1261,NEU 1170 H AF 28.0 g/L,5870-2-2
1262,NEU 1170 H AF 31.02 g/L,5870-2-1
1263,NEU 1170 H EC,5870-1-1
1264,NEU 1370 H,5870-3-1
1265,RADAR,EU-0021482-0000
1266,RapidGo,5870-3-1
1267,Bonus AlgVäck koncentrat,5910
1268,Botanico Myrdosor med lockbete,5687
1269,Corum,5912
1270,Enclean,5910
1271,Portland Garden Myrdosor med lockbete,5687
1272,"ELDORADO KLOR 1,5 L",5726-1-1
1273,HK0014,5726-1-1
1274,HK0016,5726-2-1
1275,Klor,5726-1-1
1276,Klor 2,5726-2-1
1277,"KLORRENGÖRING 1,5 L",5726-1-1
1278,"KLORRENGÖRING 1,5 L (BESONGROSS)",5726-1-1
1279,KLORRENGÖRING 750 ML (ICA),5726-1-1
1280,"KLORRENT 1,5 L (ICA)",5726-1-1
1281,"NOPA KLOR 1,5 L",5726-1-1
1282,Orius 200 EW,5540
1283,REFIN CHLORINE 1500 ML,5726-1-1
1284,"W5 KLOR 1,5 L",5726-1-1
1285,Fungisan Svamp Effekt,5900
1286,Maxforce Quantum,5796
1287,Sekator OD,5199
1288,Isomate CLS plus,5617
1289,Glypper,5519
1290,Neporex WSG 2,4732
1291,Raid Myggspiral,5439
1292,Timeline FX,5683
1293,Tomahawk 200 EC,5236
1294,Jablo FL,5871
1295,Credit Xtreme,5602
1296,SURE Instant Hand Sanitizer Extra,EU-0030243-0000
1297,Banarg,5545
1298,ThermaCELL Myggskydd II,5908
1299,Vertimec,4693
1300,Avskräckningsmedel för hund och katt,EU-0028890-0000
1301,Avvisande medel för hundar,EU-0028890-0000
1302,Avvisar,EU-0028890-0000
1303,Barriär GR,EU-0028890-0000
1304,Beaphar Keep Off Granulat,EU-0028890-0000
1305,Granulat för att avvisa katter och hundar,EU-0028890-0000
1306,Granulat för repellering av hundar,EU-0028890-0000
1307,Granulat för repellering av katter,EU-0028890-0000
1308,Kattavvisande medel,EU-0028890-0000
1309,Panik,EU-0028890-0000
1310,Panikgranulat,EU-0028890-0000
1311,Panikgranulat (hund och katt),EU-0028890-0000
1312,Repellis G,EU-0028890-0000
1313,Répulsifs chiens et chats Granules,EU-0028890-0000
1314,Stop CG,EU-0028890-0000
1315,Conaxis,
1316,GIBB PLUS FOREST,5040
1317,Metafol 700 SC,5264
1318,Target SC,5265
1319,Chrysal BVB,5353
1320,Largo,5707
1321,Ogräsättika Dubbelverkande,5629
1322,OgräsNIX DE,5388
1323,OgräsNIX Effekt,5628
1324,OgräsNIX PROFFS,5630
1325,OgräsNIX Trippel Effekt,5824
1326,Phostoxin Pellets,5338
1327,Quickphos 56% GE,5742
1328,QuickPhos 56% GE Bags,5739
1329,Quick mot ogräs och mossa koncentrat,5712
1330,Sluggo PRO,5901
1331,Speed AC,5580
1332,Goliath,5260
1333,Goltix Gold,5625
1334,Goltix SC 700,5259
1335,Goltix WG,5261
1336,Border 100 SC,5724
1337,Nexide CS,5595
1338,Proteo EC Green,5905
1339,Biopren Faraomyrbete,5349
1340,Addict Gel Myror,5805
1341,Agita 10 WG,5469
1342,DIGRAIN GEL MYROR,5805
1343,DN GEL MYROR,5805
1344,GEL MYROR 200,5805
1345,GEL MYROR DINOTEFURAN,5805
1346,PHOBI GEL MYROR,5805
1347,Protect Sensation,5539
1348,SURE Antimic Hand Wash,EU-0031061-0000
1349,Fibro,5817
1350,Chrysal Plus,5371
1351,Cabrio Duo,5810
1352,Mistral 70 WG,5226
1353,Proxanil,5269
1354,Spotlight Plus,5577
1355,Hard Racing Copper,5148
1356,Pabi 300 EC,5673
1357,Patel 300 EC,5672
1358,Pecari 300 EC,5660
1359,Poleposition 300 EC,5701
1360,Protendo 300 EC,5615
1361,Tanalith E 3462,5822
1362,Tanalith E 3463,5822
1363,Tanalith E 3475,5822
1364,Zorvec Endavia,5614
1365,Aviator Xpro EC 225,5292
1366,Fenix,5288
1367,Glacis,5729
1368,INFINITO,5072
1369,Profound,5730
1370,Siltra Xpro EC 260,5284
1371,Mizuki,
1372,Sodium Omadine 40% Aqueous Solution,5894
1373,CORIPHENE IF PRO,5693
1374,DEADLINE WOODWORM TREATMENT,5693
1375,DIGRAIN W,5693
1376,Fennocide 145,5144
1377,INSECTACLEAR W,5693
1378,WOODWORM TREATMENT FLUID,5693
1379,WOODWORM TREATMENT SOLUTION,5693
1380,XILIX 3000 P,5693
1381,XYLOFOR IFACO 3000,5693
1382,Raptol,5351
1383,Karate 5 CS,
1384,Talius,5813
1385,Moskito Guard,5456
1386,Cleasure Universal Disinfectant Wipes,EU-0020556-0002
1387,Kruidvat reinigings en desinfectiedoekjes,EU-0020556-0002
1388,UniBlue UDF2,EU-0020556-0001
1389,UniBlue UDW2,EU-0020556-0002
1390,UniBlue UDW2-Bio,EU-0020556-0002
1391,UniBlue Universal Disinfection Fluid (UDF2),EU-0020556-0001
1392,UniBlue Universal Disinfection Wipes (UDW2-Bio),EU-0020556-0002
1393,Titus,5812
1394,Mida San 311 KZ,5892-3-1
1395,Mida San 311 KZ wipes,5892-4-1
1396,Mida San 334 MF,5892-2-1
1397,Mida San 335 RV,5892-1-1
1398,Doff Snigel Stop,5698
1399,Kayak,4980
1400,BotaniGard WP,5406
1401,Mospilan SG,5708
1402,VC17m,5008
1403,Ethosat,5753
1404,Nexide CS,5595
1405,Mavrik,4491
1406,Mavrik 2F,4491
1407,Signum,4884
1408,Hussar Plus OD,5661
1409,Aliette 80 WG,4048
1410,BG CO2,EU-0028462-0000
1411,BG-Booster,EU-0028462-0000
1412,BG-Booster CO2,EU-0028462-0000
1413,BG-Pro,EU-0028462-0000
1414,BG-Protector,EU-0028462-0000
1415,BG-Sentinel 2,EU-0028462-0000
1416,Clipless NT,5320
1417,Flexity,4847
1418,Pirimor,5463
1419,Scala,4265
1420,Flugspray,4837
1421,TYPO-Lab A10,
1422,Nonstop VK,4916
1423,Racing VK,4917
1424,Racing VK White/Grey,4918
1425,Matrigon 72 SG,5013
1426,Boxer,5760
1427,Phero-X-Lure IT,
1428,Katt Effekt,5882
1429,Super Ninja mot Bananflugor,EU-0027771-0000
1430,Difcor 250 EC,5601
1431,Goltix Gold,5625
1432,Relenya,5733
1433,Revyona,5736
1434,Mateno Duo,5688
1435,Nalco 3434,5881
1436,Lentagran WP,5818
1437,Spitfire 333 HL,5235
1438,Starane 333 HL,5234
1439,Autan Defense Ticks dry spray,5855
1440,Autan Defense Tropical dry spray,5855
1441,Autan Multi Insect Dry Spray,5855
1442,Autan Protection Plus Dry Spray,5855
1443,Autan Protection Plus Mygg- och Fästing Spray,5855
1444,Autan Sport Dry Spray,5855
1445,Autan Tropical Dry Spray,5855
1446,Autan Tropical Spray,5855
1447,Off! Multi Insect Dry Spray,5855
1448,Off! Protection Plus Dry Spray,5855
1449,Off! Sport Dry Spray,5855
1450,Off! Tropical Dry Spray,5855
1451,Roundup Plug,5831
1452,Jerbor,5689
1453,Protim P-Vac 11,5879
1454,Ecocin 1+0,PHT-0086-5824
1455,Ariane S,3856
1456,Hussar Plus OD,5661
1457,ALAR 85 SG,4329
1458,KILLMETHRIN 2.5 WP,5877
1459,Nuance,5492
1460,TEPPEKI,5847
1461,Flugfälla,EU-0027004-0000
1462,Fly Trap,EU-0027004-0000
1463,Getingfälla,EU-0026256-0000
1464,Lockmedel Fluga,EU-0027004-0000
1465,Wasptrap,EU-0026256-0000
1466,Meristo,5875
1467,Meristo,5875
1468,Betanal,5685
1469,Botiga,5815
1470,Lentagran WP,5818
1471,FytoSol,5873
1472,FytoSol,5873
1473,Barracuda,5863
1474,Barracuda,5863
1475,Jablo FL,5871
1476,Spectra FL,5872
1477,Arvalin PHOS,5145
1478,Detia Sork Stopp,5145
1479,Detia WM,5145
1480,Mirador 250 SC,5464
1481,Vaprox 59 Hydrogen Peroxide Sterilant,5548-2-1
1482,Vaprox Hydrogen Peroxide Sterilant,5548-1-1
1483,Mosi-guard Natural Roll-on,4630
1484,Sugoi,5865
1485,FytoSave,5861
1486,FytoSave,5861
1487,Harmonix Turf Defense,5857
1488,Azaka,5329
1489,Candit,4211
1490,Fungazil MLF 50,5312
1491,Prestop Mix,4846
1492,Rancona i-Mix,5734
1493,Safari 50 DF,5424
1494,BIRD FREE,EU-0021836-0000
1495,Fire Gel,EU-0021836-0000
1496,Optical Gel,EU-0021836-0000
1497,Zinc Omadine ZOE Dispersion,5859
1498,Callisto 100 SC,5854
1499,Callisto 100 SC,5854
1500,Raptol,5351
1501,Stald chok flugspray D,5108
1502,Rizolex 50 SC,3823
1503,Warosit 223 P,4424
1504,Propulse SE 250,5347
1505,Anticimex getingspray,5108
1506,Scala,4265
1507,SnigelNIX,5852
1508,Azuleo,5853
1509,Celcure C65,5850
1510,Finalsan Ogräs Effekt koncentrat Proffs,4867
1511,DeLaval PeraDis,5849
1512,Impralit ACQ 2200,4532
1513,MENNO Florades,5848
1514,Wolsit KD-10,4834
1515,Alert Cereal D,5515
1516,Busan 1078,4664
1517,Elector,4976
1518,Basagran SG,4115
1519,Betasana SC,4967
1520,Galera,4975
1521,Kerb Flo 400,4610
1522,Roundup PowerMax,5830
1523,VitiSan,5731
1524,Flurostar 200,5019
1525,Vitrol GB,5846
1526,Tanasote S40,5837
1527,Aeris,5833-1-1
1528,AntiVir,5833-1-1
1529,Assist,5833-1-1
1530,EffectDes,5833-3-1
1531,EffectDes,5833-2-1
1532,EffectDes Surface Disinfection,5833-3-1
1533,EffectDes Surface Disinfection,5833-2-1
1534,SafeDes,5833-1-1
1535,SafeDes Hand Disinfection,5833-1-1
1536,SoftOx,5833-3-1
1537,Softox,5833-2-1
1538,Softox,5833-1-1
1539,ACTI-BROM 1318,5832
1540,BG-Homescent,EU-0026801-0000
1541,BG-Mozzibait,EU-0026801-0000
1542,BG-Sweetscent,EU-0026801-0000
1543,Biogents Mückenlockstoff,EU-0026801-0000
1544,AquaPy,5798
1545,Milbeknock,5819
1546,Express 50 SX,5777
1547,Latitude,5780
1548,Trimmer 50 SG,5776
1549,Sofast,5806
1550,Fly In,EU-0027073-0000
1551,Starane 333 HL,5234
1552,Snigel spärr,PHT-0085-5698
1553,Cymbal 45,5047
1554,Stick Insektspray mot krypande insekter,5656
